序号,问,答
0,你好,call_hellow
0,早上好,call_morning
0,时间,call_time
0,天气,call_weather
1,学校自己有谈心谈话系统，是否可以与省厅对接。,可以，请先在群文件夹中下载对接申请表，按照流程申请。
2,获取技术对接的相关文档,查看群文件夹中的API接口说明文档
3,导入的学生名单会自行变动,学生和辅导员的绑定关系，由各校管理员统一导入，辅导员个人不要自行导入
4,访问时报错提示client有问题,账户信息请联系学校管理员，在浙里思政工作台“接口管理”菜单下查看
5,系统报错“当前appID不合法”,是appID，不是appid，严格按照技术文档中的要求规范大小写
6,学校管理员账号登录后 未看到数据，且接口日志也没有记录,没有上传成功，检查后重新上传
7,获取token未授权,检查是否为账号id 输错了
8,谈心谈话api 文档里面的地址是正式环境地址还是测试环境,正式环境
9,学校自己的系统对接了省厅谈心谈话系统，辅导员是否还可以直接从学校谈心谈话系统录入谈话记录？,如果确定学校系统已与省厅系统对接完成，可以从学校系统录入。
10,已与全省谈心谈话平台完成对接，省平台的谈话数据是否可以传回高校的学工系统？,不可以，但可以从系统将数据以Excel表格的形式导出。
